molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,ligand_efficiency,chirality,parent_chembl_id,cx_logd,alogp,hba,hbd,mw_freebase,full_mwt,num_ro5_violations,psa,heavy_atoms,np_likeness_score
CHEMBL3670900,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2C)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cc1O,0.938,nM,9.03,"{'bei': '14.13', 'le': '0.27', 'lle': '5.10', 'sei': '5.57'}",-1,CHEMBL3670900,4.55,3.93,7,5,638.83,638.83,1,162.06,45,-0.69
CHEMBL3670874,COC(=O)N[C@H](C(=O)NCCCCC(C(N)=O)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,1.08,nM,8.97,"{'bei': '14.06', 'le': '0.27', 'lle': '5.36', 'sei': '5.16'}",-1,CHEMBL3670874,3.61,3.61,7,4,637.80,637.80,1,173.92,45,-0.68
CHEMBL3670871,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(Cc1cccnc1)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,1.007,nM,9.0,"{'bei': '13.64', 'le': '0.26', 'lle': '4.94', 'sei': '5.49'}",-1,CHEMBL3670871,3.35,4.06,8,4,659.81,659.81,1,163.95,47,-0.78
CHEMBL3670880,Cc1ncccc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.58,nM,9.24,"{'bei': '13.41', 'le': '0.29', 'lle': '5.17', 'sei': '5.97'}",-1,CHEMBL3670880,3.51,4.07,7,4,688.69,688.69,1,154.72,44,-0.94
CHEMBL3670881,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cn1,0.567,nM,9.25,"{'bei': '13.43', 'le': '0.29', 'lle': '5.18', 'sei': '5.98'}",-1,CHEMBL3670881,3.51,4.07,7,4,688.69,688.69,1,154.72,44,-1.02
CHEMBL3670878,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](Cc1ccccc1Br)NC(=O)c1ccc2c(c1)OCO2)S(=O)(=O)c1ccc(N)cc1,0.336,nM,9.47,"{'bei': '13.20', 'le': '0.28', 'lle': '5.37', 'sei': '5.91'}",-1,CHEMBL3670878,4.22,4.10,8,4,717.68,717.68,1,160.29,46,-0.74
CHEMBL3670879,CC(C)CN([C@H](CO)CCCCNC(=O)C(Cc1ccccc1Br)NC(=O)c1ccncc1)S(=O)(=O)c1ccc(N)cc1,0.618,nM,9.21,"{'bei': '13.65', 'le': '0.29', 'lle': '5.45', 'sei': '5.95'}",-1,CHEMBL3670879,3.38,3.76,7,4,674.66,674.66,1,154.72,43,-0.90
CHEMBL3670882,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)C1=NCC(C)N=C1)S(=O)(=O)c1ccc(N)cc1,0.836,nM,9.08,"{'bei': '13.12', 'le': '0.28', 'lle': '6.11', 'sei': '5.45'}",-1,CHEMBL3670882,3.84,2.97,8,4,691.69,691.69,1,166.55,44,-0.56
CHEMBL3670875,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)c1cnccn1)S(=O)(=O)c1ccc(N)cc1,0.471,nM,9.33,"{'bei': '13.80', 'le': '0.30', 'lle': '6.17', 'sei': '5.56'}",-1,CHEMBL3670875,2.55,3.16,8,4,675.65,675.65,1,167.61,43,-1.04
CHEMBL3670876,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](Cc1ccccc1Br)NC(=O)c1ccccn1)S(=O)(=O)c1ccc(N)cc1,0.615,nM,9.21,"{'bei': '13.65', 'le': '0.29', 'lle': '5.45', 'sei': '5.95'}",-1,CHEMBL3670876,3.77,3.76,7,4,674.66,674.66,1,154.72,43,-0.97
CHEMBL3670877,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](Cc1ccccc1Br)NC(=O)c1cccnc1)S(=O)(=O)c1ccc(N)cc1,0.372,nM,9.43,"{'bei': '13.98', 'le': '0.30', 'lle': '5.67', 'sei': '6.09'}",-1,CHEMBL3670877,3.38,3.76,7,4,674.66,674.66,1,154.72,43,-0.94
CHEMBL3670870,COC(=O)N[C@H](C(=O)NCCCC[C@H](C(N)=O)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,0.652,nM,9.19,"{'bei': '14.40', 'le': '0.28', 'lle': '5.58', 'sei': '5.28'}",-1,CHEMBL3670870,3.61,3.61,7,4,637.80,637.80,1,173.92,45,-0.68
CHEMBL3670872,CC(=O)N[C@H](C(=O)NCCCCC(C(N)=O)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,1.073,nM,8.97,"{'bei': '14.42', 'le': '0.28', 'lle': '5.58', 'sei': '5.45'}",-1,CHEMBL3670872,2.99,3.39,6,4,621.80,621.80,1,164.69,44,-0.62
CHEMBL3670873,CC(C)CN(C(CCCCNC(=O)[C@H](CC1=C2C=CC=CC2CC=C1)NC(=O)N1CCOCC1)C(N)=O)S(=O)(=O)c1ccc(N)cc1,0.58,nM,9.24,"{'bei': '13.81', 'le': '0.27', 'lle': '6.38', 'sei': '5.21'}",-1,CHEMBL3670873,1.32,2.86,7,4,668.86,668.86,1,177.16,47,-0.50
